gene_name,max(statistic),min(pValue),max(delta_af_abs)
TRABD-SELO,3.1629395915933842,0.07532743069871928,0.021460999999999952
SDHAP3,0.31864222200911824,0.5724247645428808,0.01158899999999996
OLFML1-PPFIBP2,1.1431817320968094,0.28498101405495446,0.034945000000000004
MAP3K11-PCNXL3,4.277622123214089,0.038617337361321225,0.014485999999999999
NCAPD3-VPS26B,0.46898253740593127,0.4934556216400987,0.004765
ZNF561-ZNF561-AS1,0.8401654183357133,0.35934946538465773,0.01568
LOC100507468-AUTS2,1.0744131443415392,0.2999507443570012,0.011753999999999987
LOC102723376-ROCK1P1,0.0034956336944772432,0.9528534349963335,0.002307
PLA2G5,11.586679221363665,6.642592449117579E-4,0.06099300000000002
NBPF3-ALPL,5.984754830826602,0.014430048241337312,0.06372499999999998
EPHA8-MIR6127,12.64998824293764,3.7556803931615423E-4,0.08448699999999998
C8B,6.3998016957793915,0.01141331116408828,0.07388600000000001
FRRS1-AGL,27.86662981250862,1.2997214082766106E-7,0.06189900000000001
PIAS3-ANKRD35,5.446485542687426,0.019607733340781253,0.07252800000000001
OR5J2-OR5T2,14.809684331824005,1.1892322516637854E-4,0.041358000000000006
PRG2-SLC43A3,5.984754830826602,0.014430048241337312,0.03876299999999999
C11orf72,14.750740665438842,1.226993171796753E-4,0.03007100000000007
TMEM135-RAB38,20.7502012949364,5.232607854455118E-6,0.09430500000000008
NR4A1-ATG101,1.830803706287195,0.1760326452016221,0.04126099999999999
LOC101928137-LOC100507377,41.319750592784516,1.2925627235205184E-10,0.08327899999999999
MYF5,2.4705640515098852,0.1159962912940693,0.046095000000000025
APAF1,14.750740665438842,1.226993171796753E-4,0.05065300000000006
ANO4-SLC5A8,14.750740665438842,1.226993171796753E-4,0.07582200000000003
MIR3169-PCDH20,14.750740665438842,1.226993171796753E-4,0.08938900000000005
TC2N,14.809684331824005,1.1892322516637854E-4,0.04705599999999999
MIR342,3.0282217302040704,0.08182765348407928,0.03957199999999998
RCOR1,19.6981521756177,9.068901432263132E-6,0.09801100000000007
SNORD109A,25.55004386987209,4.31056252248041E-7,0.06102
ZFAND6,19.6981521756177,9.068901432263132E-6,0.08926499999999993
NUBP2,8.889036133430762,0.002868881420476699,0.053153000000000006
LINC00917,11.586679221363665,6.642592449117579E-4,0.06921799999999997
YWHAE-CRK,6.879195065378346,0.008720482833094123,0.05313899999999999
PIRT,5.9960137343388045,0.014338239461582747,0.066554
NLK,19.6981521756177,9.068901432263132E-6,0.05898899999999996
GRB2,14.750740665438842,1.226993171796753E-4,0.09544399999999997
MISP-PTBP1,24.28665993638009,8.301198469728988E-7,0.06682899999999997
PTPRS,14.809684331824005,1.1892322516637854E-4,0.056022
ZNF563-ZNF442,19.6981521756177,9.068901432263132E-6,0.05923500000000004
ADGRE2,10.107594481972415,0.0014765957049198697,0.08112200000000003
ZNF382,10.95503697888398,9.334950933128638E-4,0.091091
GALM,14.750740665438842,1.226993171796753E-4,0.09322000000000008
FANCL-LINC01122,15.0236960082843,1.0616967969701019E-4,0.07781400000000005
TBC1D8-CNOT11,30.06115103811974,4.186343049994434E-8,0.11267600000000003
IL1R1,14.750740665438842,1.226993171796753E-4,0.05293299999999998
RGPD4-AS1,9.303992853867074,0.002286549705343033,0.06997300000000001
EPB41L5,20.19925956639732,6.977993978751762E-6,0.03714299999999998
HS6ST1-LOC101927881,27.86662981250862,1.2997214082766106E-7,0.09555399999999997
TUBA3E-CCDC115,14.809684331824005,1.1892322516637854E-4,0.06214699999999995
TOB2,8.889036133430762,0.002868881420476699,0.03469800000000001
PARVB,19.6981521756177,9.068901432263132E-6,0.09978300000000007
KBTBD8-MIR4272,14.750740665438842,1.226993171796753E-4,0.05545899999999998
NCK1,14.750740665438842,1.226993171796753E-4,0.07914500000000002
AFAP1,16.644473575132047,4.5081462660467864E-5,0.08255000000000001
FBXL7-MARCH11,21.31163646840401,3.903547500794247E-6,0.08463799999999999
LINC01033,11.586679221363665,6.642592449117579E-4,0.07130500000000001
SLC22A4,9.303992853867074,0.002286549705343033,0.093329
LINC01484,20.7502012949364,5.232607854455118E-6,0.08719199999999999
GFOD1-SIRT5,18.172526493799438,2.0176857854159458E-5,0.060568000000000066
OR10C1-OR2H1,5.984754830826602,0.014430048241337312,0.07774499999999995
SOGA3,17.36077212067979,3.091410730160504E-5,0.05979800000000002
MMD2-RNF216P1,8.206456745625974,0.00417415827968437,0.08360800000000002
MIR4649,14.750740665438842,1.226993171796753E-4,0.064604
CUX1,25.29149742363474,4.928766260681172E-7,0.101074
NCAPG2-ESYT2,17.999764284198612,2.2093232514119876E-5,0.05176599999999998
MSR1-FGF20,17.36077212067979,3.091410730160504E-5,0.10784300000000002
PREX2,14.750740665438842,1.226993171796753E-4,0.09034900000000001
FOCAD,19.6981521756177,9.068901432263132E-6,0.09878100000000001
IFNA2-IFNA8,8.889036133430762,0.002868881420476699,0.040410999999999996
GDA-LINC01504,7.8839804628596895,0.004987458636642406,0.09015699999999999
UBQLN1,14.750740665438842,1.226993171796753E-4,0.03766400000000003
SPTY2D1,7.204793293267752,0.007270912322269285,0.08491199999999999
KCTD14,5.984754830826602,0.014430048241337312,0.06222899999999998
LOC101060553,7.055937771402372,0.007900294124607021,0.08666999999999997
LINC00593,6.232687550299502,0.01254132532040586,0.082949
CBFB,14.750740665438842,1.226993171796753E-4,0.04922500000000002
C17orf98-RPL23,14.750740665438842,1.226993171796753E-4,0.039463000000000005
KRTAP3-1,14.750740665438842,1.226993171796753E-4,0.031554
MARCH2-HNRNPM,2.438632042158798,0.11837942053852812,0.04712500000000003
ILVBL-NOTCH3,5.984754830826602,0.014430048241337312,0.04678199999999999
DNAAF3-SYT5,4.612600101917462,0.03173787645388526,0.05940000000000001
CYP26B1,5.984754830826602,0.014430048241337312,0.047165999999999986
IFIH1-GCA,5.984754830826602,0.014430048241337312,0.023288000000000003
CDK5R2,4.803392880105767,0.02840374746965524,0.019553000000000015
MRPS25,14.750740665438842,1.226993171796753E-4,0.03336600000000001
TWF2-PPM1M,14.750740665438842,1.226993171796753E-4,0.075521
ELF2-MGARP,14.750740665438842,1.226993171796753E-4,0.06295699999999993
PJA2,14.750740665438842,1.226993171796753E-4,0.07747100000000007
STAU2-UBE2W,14.750740665438842,1.226993171796753E-4,0.07572599999999996
ZNF706,8.386889602702052,0.0037793709544661214,0.07855400000000001
COLEC10,18.26316094992213,1.9239205195642484E-5,0.064357
HSD17B3-SLC35D2,14.750740665438842,1.226993171796753E-4,0.048812999999999995
CKAP4,7.604220527616355,0.005823183227972928,0.061254
PSMB5,9.303992853867074,0.002286549705343033,0.054608000000000004
LINC00254-HS3ST6,19.6981521756177,9.068901432263132E-6,0.036922999999999984
NKTR,5.80275504610655,0.016001083413423767,0.043869999999999965
STX17,14.809684331824005,1.1892322516637854E-4,0.03692200000000001
SNAPC4,7.3901250851116975,0.00655829276657971,0.03096399999999999
